year,occupation,age_bracket,count_k,pct_women,total_employed_k,women_count_k_approx,data_note
2020,Network & Systems Admins,age_35_44,74.0,19.8,238.0,14.7,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Network & Systems Admins,age_45_54,62.0,19.8,238.0,12.3,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Network & Systems Admins,age_55_64,30.0,19.8,238.0,5.9,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Network & Systems Admins,age_65_plus,11.0,19.8,238.0,2.2,women_count estimated from occupation-level pct_women × age_bracket_total
2020,Network & Systems Admins,total,238.0,19.8,238.0,47.1,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_16_19,1.0,17.2,212.0,0.2,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_20_24,5.0,17.2,212.0,0.9,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_25_34,49.0,17.2,212.0,8.4,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_35_44,57.0,17.2,212.0,9.8,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_45_54,54.0,17.2,212.0,9.3,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_55_64,38.0,17.2,212.0,6.5,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,age_65_plus,8.0,17.2,212.0,1.4,women_count estimated from occupation-level pct_women × age_bracket_total
2021,Network & Systems Admins,total,212.0,17.2,212.0,36.5,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_16_19,0.0,19.8,217.0,0.0,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_20_24,7.0,19.8,217.0,1.4,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_25_34,56.0,19.8,217.0,11.1,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_35_44,59.0,19.8,217.0,11.7,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_45_54,44.0,19.8,217.0,8.7,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_55_64,47.0,19.8,217.0,9.3,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,age_65_plus,4.0,19.8,217.0,0.8,women_count estimated from occupation-level pct_women × age_bracket_total
2022,Network & Systems Admins,total,217.0,19.8,217.0,43.0,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_16_19,0.0,16.7,202.0,0.0,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_20_24,4.0,16.7,202.0,0.7,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_25_34,47.0,16.7,202.0,7.8,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_35_44,64.0,16.7,202.0,10.7,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_45_54,51.0,16.7,202.0,8.5,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_55_64,33.0,16.7,202.0,5.5,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,age_65_plus,3.0,16.7,202.0,0.5,women_count estimated from occupation-level pct_women × age_bracket_total
2023,Network & Systems Admins,total,202.0,16.7,202.0,33.7,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_16_19,0.0,17.1,154.0,0.0,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_20_24,7.0,17.1,154.0,1.2,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_25_34,26.0,17.1,154.0,4.4,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_35_44,42.0,17.1,154.0,7.2,women_count estimated from occupation-level pct_women × age_bracket_total
2024,Network & Systems Admins,age_45_54,38.0,17.1,154.0,6.5,women_count estimated from occupation-level pct_women × age_bracket_total
