year,occupation,age_bracket,count_k
2022,CS Managers,age_25_34,132.0
2022,CS Managers,age_35_44,225.0
2022,CS Managers,age_45_54,222.0
2022,CS Managers,age_55_64,141.0
2022,CS Managers,age_65_plus,31.0
2022,CS Managers,total,764.0
2023,CS Managers,age_16_19,0.0
2023,CS Managers,age_20_24,8.0
2023,CS Managers,age_25_34,156.0
2023,CS Managers,age_35_44,243.0
2023,CS Managers,age_45_54,223.0
2023,CS Managers,age_55_64,139.0
2023,CS Managers,age_65_plus,24.0
2023,CS Managers,total,793.0
2024,CS Managers,age_16_19,0.0
2024,CS Managers,age_20_24,4.0
2024,CS Managers,age_25_34,92.0
2024,CS Managers,age_35_44,236.0
2024,CS Managers,age_45_54,217.0
2024,CS Managers,age_55_64,153.0
2024,CS Managers,age_65_plus,31.0
2024,CS Managers,total,732.0
2015,Computer Hardware Engineers,age_16_19,0.0
2015,Computer Hardware Engineers,age_20_24,2.0
2015,Computer Hardware Engineers,age_25_34,11.0
2015,Computer Hardware Engineers,age_35_44,19.0
2015,Computer Hardware Engineers,age_45_54,23.0
2015,Computer Hardware Engineers,age_55_64,14.0
2015,Computer Hardware Engineers,age_65_plus,2.0
2015,Computer Hardware Engineers,total,72.0
2016,Computer Hardware Engineers,age_16_19,0.0
2016,Computer Hardware Engineers,age_20_24,4.0
2016,Computer Hardware Engineers,age_25_34,17.0
2016,Computer Hardware Engineers,age_35_44,19.0
2016,Computer Hardware Engineers,age_45_54,18.0
2016,Computer Hardware Engineers,age_55_64,8.0
2016,Computer Hardware Engineers,age_65_plus,2.0
2016,Computer Hardware Engineers,total,69.0
2017,Computer Hardware Engineers,age_16_19,0.0
2017,Computer Hardware Engineers,age_20_24,6.0
2017,Computer Hardware Engineers,age_25_34,18.0
2017,Computer Hardware Engineers,age_35_44,26.0
2017,Computer Hardware Engineers,age_45_54,20.0
2017,Computer Hardware Engineers,age_55_64,8.0
2017,Computer Hardware Engineers,age_65_plus,2.0
2017,Computer Hardware Engineers,total,80.0
2018,Computer Hardware Engineers,age_16_19,0.0
2018,Computer Hardware Engineers,age_20_24,5.0
2018,Computer Hardware Engineers,age_25_34,21.0
2018,Computer Hardware Engineers,age_35_44,16.0
2018,Computer Hardware Engineers,age_45_54,15.0
2018,Computer Hardware Engineers,age_55_64,11.0
2018,Computer Hardware Engineers,age_65_plus,3.0
2018,Computer Hardware Engineers,total,71.0
2019,Computer Hardware Engineers,age_16_19,0.0
2019,Computer Hardware Engineers,age_20_24,12.0
2019,Computer Hardware Engineers,age_25_34,17.0
2019,Computer Hardware Engineers,age_35_44,22.0
2019,Computer Hardware Engineers,age_45_54,11.0
2019,Computer Hardware Engineers,age_55_64,13.0
2019,Computer Hardware Engineers,age_65_plus,1.0
2019,Computer Hardware Engineers,total,77.0
2020,Computer Hardware Engineers,age_16_19,0.0
2020,Computer Hardware Engineers,age_20_24,3.0
2020,Computer Hardware Engineers,age_25_34,27.0
2020,Computer Hardware Engineers,age_35_44,25.0
2020,Computer Hardware Engineers,age_45_54,12.0
2020,Computer Hardware Engineers,age_55_64,19.0
2020,Computer Hardware Engineers,age_65_plus,3.0
2020,Computer Hardware Engineers,total,89.0
2021,Computer Hardware Engineers,age_16_19,0.0
2021,Computer Hardware Engineers,age_20_24,1.0
2021,Computer Hardware Engineers,age_25_34,36.0
2021,Computer Hardware Engineers,age_35_44,27.0
2021,Computer Hardware Engineers,age_45_54,11.0
2021,Computer Hardware Engineers,age_55_64,8.0
2021,Computer Hardware Engineers,age_65_plus,5.0
2021,Computer Hardware Engineers,total,88.0
2022,Computer Hardware Engineers,age_16_19,0.0
2022,Computer Hardware Engineers,age_20_24,5.0
2022,Computer Hardware Engineers,age_25_34,20.0
2022,Computer Hardware Engineers,age_35_44,29.0
2022,Computer Hardware Engineers,age_45_54,20.0
2022,Computer Hardware Engineers,age_55_64,14.0
2022,Computer Hardware Engineers,age_65_plus,2.0
2022,Computer Hardware Engineers,total,90.0
2023,Computer Hardware Engineers,age_16_19,0.0
2023,Computer Hardware Engineers,age_20_24,4.0
2023,Computer Hardware Engineers,age_25_34,17.0
2023,Computer Hardware Engineers,age_35_44,20.0
2023,Computer Hardware Engineers,age_45_54,15.0
2023,Computer Hardware Engineers,age_55_64,14.0
2023,Computer Hardware Engineers,age_65_plus,1.0
2023,Computer Hardware Engineers,total,71.0
